country_name,year,gghed_gdp,gghed_usd2015_pc,gghed_usd2022_pc,pop,region,income_level,pop_annotation,africa_annotation,other_annotation
Republic of Moldova,2022,4.515145299999999,161.877585,258.1,2541000.0,Europe,Upper middle income,2.5 million,,True
Madagascar,2022,0.9365723699999998,4.095997,4.7,30437260.499999996,Africa,Low income,30.4 million,True,
Maldives,2022,7.543621540000001,837.456903,899.3,524106.5000000001,Asia,Upper middle income,0.5 million,,True
Mexico,2022,2.9689946199999997,296.661611,337.8,128613117.5,Americas,Upper middle income,128.6 million,,True
Marshall Islands,2022,4.4169340099999985,249.076785,285.4,40077.0,Oceania,Upper middle income,0.0 million,,True
North Macedonia,2022,4.33453941,262.712241,319.5,1840233.0,Europe,Upper middle income,1.8 million,,True
Mali,2022,1.4302290699999998,10.143202,11.6,23072640.0,Africa,Low income,23.1 million,True,
Malta,2022,6.381880279999999,1986.402257,2246.7,520971.0,Europe,High income,0.5 million,,True
Myanmar,2022,0.57522529,5.657951,6.4,53756787.5,Asia,Lower middle income,53.8 million,,True
Montenegro,2022,6.8782925599999984,544.871222,697.2,614647.5,Europe,Upper middle income,0.6 million,,True
Mongolia,2022,3.11989594,133.070205,158.0,3386015.0000000005,Asia,Upper middle income,3.4 million,,True
Mozambique,2022,2.7056972999999997,15.720407,15.3,32656246.000000004,Africa,Low income,32.7 million,True,
Mauritania,2022,1.75979567,28.479337,35.5,4875637.5,Africa,Lower middle income,4.9 million,True,
Mauritius,2022,2.7463455200000007,287.633213,278.7,1276129.5,Africa,Upper middle income,1.3 million,True,
Malawi,2022,0.8776150900000002,4.796299,5.4,20568728.0,Africa,Low income,20.6 million,True,
Malaysia,2022,1.97598696,220.487033,231.8,34695493.0,Asia,Upper middle income,34.7 million,,True
Namibia,2022,4.2423048,167.868783,185.1,2889662.5,Africa,Lower middle income,2.9 million,True,
Niger,2022,1.53595936,8.695148,9.4,25311973.0,Africa,Low income,25.3 million,True,
Nigeria,2022,0.6193938900000001,14.897801,13.2,223150895.5,Africa,Lower middle income,223.2 million,True,
Nicaragua,2022,5.159249310000002,112.520349,120.1,6730653.5,Americas,Lower middle income,6.7 million,,True
Netherlands (Kingdom of the),2022,6.922546389999999,3478.969591,3972.3,17590672.0,Europe,High income,17.6 million,,True
Norway,2022,6.809732440000002,5426.761399,7447.6,5425269.999999999,Europe,High income,5.4 million,,True
Nepal,2022,2.10599875,23.249628,27.9,29715435.999999996,Asia,Lower middle income,29.7 million,,True
Nauru,2022,15.790369990000002,1209.233131,1967.6,11800.999999999998,Oceania,High income,0.0 million,,True
New Zealand,2022,8.146823880000001,3461.543401,3902.9,5131734.500000001,Oceania,High income,5.1 million,,True
Oman,2022,2.4607405699999996,482.698403,596.5,4730226.0,Asia,High income,4.7 million,,True
Pakistan,2022,1.10801363,18.064366,14.8,243700667.0,Asia,Lower middle income,243.7 million,,True
Panama,2022,4.757729529999999,760.136585,827.3,4400772.999999999,Americas,High income,4.4 million,,True
Peru,2022,3.91110182,265.783644,286.2,33475438.000000004,Americas,Upper middle income,33.5 million,,True
Philippines,2022,2.32400513,83.13122,82.4,113964338.5,Asia,Lower middle income,114.0 million,,True
Palau,2022,5.796433929999999,739.388186,802.9,17759.0,Oceania,High income,0.0 million,,True
Papua New Guinea,2022,1.53210604,37.748826,47.5,10203169.5,Oceania,Lower middle income,10.2 million,,True
Poland,2022,4.684138299999999,799.784481,873.8,36889761.0,Europe,High income,36.9 million,,True
Portugal,2022,6.530534270000001,1441.483294,1609.9,10352042.0,Europe,High income,10.4 million,,True
Paraguay,2022,4.08453465,253.981886,253.5,6760464.0,Americas,Upper middle income,6.8 million,,True
"occupied Palestinian territory, including east Jerusalem",2022,3.9269774,34.350431,141.5,5305269.999999999,Asia,Lower middle income,5.3 million,,True
Qatar,2022,1.7926851499999998,1061.717701,1464.3,2892455.0,Asia,High income,2.9 million,,True
Romania,2022,4.464989189999999,545.711148,700.7,19042454.999999996,Europe,High income,19.0 million,,True
Russian Federation,2022,4.88805008,490.968195,761.6,145579899.0,Europe,High income,145.6 million,,True
Rwanda,2022,2.8098130200000004,26.649632,27.4,13651029.999999998,Africa,Low income,13.7 million,True,
Saudi Arabia,2022,3.618283270000001,879.42253,1246.6,32175351.5,Asia,High income,32.2 million,,True
Sudan,2022,1.18913412,14.890172,8.1,49383000.0,Africa,Low income,49.4 million,True,
Senegal,2022,0.8960161199999999,12.858263,14.1,17651103.0,Africa,Lower middle income,17.7 million,True,
Singapore,2022,2.77292442,1848.255108,2446.5,5649884.499999999,Asia,High income,5.6 million,,True
Solomon Islands,2022,3.32158995,64.206493,66.6,781066.0,Oceania,Lower middle income,0.8 million,,True
Sierra Leone,2022,1.51291788,9.276056,7.5,8276806.500000001,Africa,Low income,8.3 million,True,
El Salvador,2022,6.12128019,266.260197,311.8,6280319.0,Americas,Upper middle income,6.3 million,,True
San Marino,2022,6.5595202399999994,3254.579269,3431.9,34089.99999999999,Europe,High income,0.0 million,,True
Somalia,2022,0.17265649,0.789363,1.0,17801897.0,Africa,Low income,17.8 million,True,
Serbia,2022,5.95365191,436.460571,556.8,6797105.000000001,Europe,Upper middle income,6.8 million,,True
South Sudan,2022,0.58035421,6.074815,4.2,11021177.5,Africa,Low income,11.0 million,True,
Sao Tome and Principe,2022,4.124695780000001,58.526346,99.7,226305.0,Africa,Lower middle income,0.2 million,True,
Suriname,2022,3.8760845700000006,274.461447,225.2,623164.0,Americas,Upper middle income,0.6 million,,True
Slovakia,2022,6.175155640000001,1165.564497,1311.9,5434712.0,Europe,High income,5.4 million,,True
Slovenia,2022,7.05512381,1791.694555,2011.0,2107180.0,Europe,High income,2.1 million,,True
Sweden,2022,9.02388191,5069.879248,5108.5,10452326.0,Europe,High income,10.5 million,,True
Eswatini,2022,3.243932719999999,128.265105,127.5,1218916.4999999998,Africa,Lower middle income,1.2 million,True,
Seychelles,2022,3.1301093099999995,483.582759,513.2,125522.5,Africa,High income,0.1 million,True,
Chad,2022,1.00766718,7.983818,8.9,18455315.5,Africa,Low income,18.5 million,True,
Togo,2022,0.66535133,5.826538,5.9,9089738.5,Africa,Low income,9.1 million,True,
Thailand,2022,3.89329267,244.540231,269.0,71735329.0,Asia,Upper middle income,71.7 million,,True
Tajikistan,2022,1.78677893,22.499021,18.4,10182222.0,Asia,Lower middle income,10.2 million,,True
Turkmenistan,2022,0.7987930799999999,50.831292,86.1,7230193.000000001,Asia,Upper middle income,7.2 million,,True
Timor-Leste,2022,10.30766392,119.230566,125.9,1369295.4999999998,Asia,Lower middle income,1.4 million,,True
Tonga,2022,3.97319055,176.547478,184.7,105042.0,Oceania,Upper middle income,0.1 million,,True
Trinidad and Tobago,2022,2.86555815,433.594269,575.7,1495921.5,Americas,High income,1.5 million,,True
Tunisia,2022,3.9432156100000006,162.955436,150.5,12119333.5,Africa,Lower middle income,12.1 million,True,
Türkiye,2022,2.78341818,383.082071,290.0,87058472.5,Asia,Upper middle income,87.1 million,,True
Tuvalu,2022,13.32408428,554.56138,786.2,9992.0,Oceania,Upper middle income,0.0 million,,True
United Republic of Tanzania,2022,0.98245382,10.772191,11.3,64711821.0,Africa,Lower middle income,64.7 million,True,
Uganda,2022,0.977534,8.429178,9.8,47312719.5,Africa,Low income,47.3 million,True,
Uruguay,2022,6.32145834,1155.86503,1307.9,3390912.9999999995,Americas,High income,3.4 million,,True
United States of America,2022,9.10163784,5656.787161,6860.6,341534045.49999994,Americas,High income,341.5 million,,True
Uzbekistan,2022,2.5039238899999994,79.416723,57.6,34938955.5,Asia,Lower middle income,34.9 million,,True
Saint Vincent and the Grenadines,2022,3.23636723,272.975368,300.2,102046.0,Americas,Upper middle income,0.1 million,,True
Viet Nam,2022,2.00186634,71.134154,82.4,99680655.0,Asia,Lower middle income,99.7 million,,True
Vanuatu,2022,1.67315841,45.260074,54.6,313046.50000000006,Oceania,Lower middle income,0.3 million,,True
Samoa,2022,5.0203704799999995,186.224549,188.2,215260.5,Oceania,Upper middle income,0.2 million,,True
Yemen,2022,0.30541709,2.759514,1.9,38222875.5,Asia,Low income,38.2 million,,True
South Africa,2022,5.405023570000001,311.309689,351.2,62378409.99999999,Africa,Upper middle income,62.4 million,True,
Zambia,2022,2.50694346,32.55204,36.3,20152938.000000004,Africa,Lower middle income,20.2 million,True,
Zimbabwe,2022,1.17876518,102.188343,23.0,16069055.499999998,Africa,Lower middle income,16.1 million,True,
