Country,ISO3 code,Year,Domestic general government health expenditure (percent of GDP),Domestic general government health expenditure per capita (constant 2022 US$),Population,Domestic general government health expenditure per capita (constant 2015 US$),Income level,Region
Sao Tome and Principe,STP,2022,4.124695780000001,99.65190803993134,226305.0,58.526346,Lower middle income,Africa
Suriname,SUR,2022,3.8760845700000006,225.2266517252601,623164.0,274.461447,Upper middle income,Americas
Slovakia,SVK,2022,6.175155640000001,1311.9257831563225,5434712.0,1165.564497,High income,Europe
Slovenia,SVN,2022,7.05512381,2011.005818315589,2107180.0,1791.694555,High income,Europe
Sweden,SWE,2022,9.02388191,5108.522757375941,10452326.0,5069.879248,High income,Europe
Eswatini,SWZ,2022,3.243932719999999,127.501308349739,1218916.4999999998,128.265105,Lower middle income,Africa
Seychelles,SYC,2022,3.1301093099999995,513.188853033427,125522.5,483.582759,High income,Africa
Chad,TCD,2022,1.00766718,8.944444529994113,18455315.5,7.983818,Low income,Africa
Togo,TGO,2022,0.66535133,5.9483952025898805,9089738.5,5.826538,Low income,Africa
Thailand,THA,2022,3.89329267,269.00199373509395,71735329.0,244.540231,Upper middle income,Asia
Tajikistan,TJK,2022,1.78677893,18.411499107273965,10182222.0,22.499021,Lower middle income,Asia
Turkmenistan,TKM,2022,0.7987930799999999,86.1331942271211,7230193.000000001,50.831292,Upper middle income,Asia
Timor-Leste,TLS,2022,10.30766392,125.86336248822846,1369295.4999999998,119.230566,Lower middle income,Asia
Tonga,TON,2022,3.97319055,184.74257780959027,105042.0,176.547478,Upper middle income,Oceania
Trinidad and Tobago,TTO,2022,2.86555815,575.6984184320742,1495921.5,433.594269,High income,Americas
Tunisia,TUN,2022,3.9432156100000006,150.53877594864457,12119333.5,162.955436,Lower middle income,Africa
Türkiye,TUR,2022,2.78341818,290.02229827831854,87058472.5,383.082071,Upper middle income,Asia
Tuvalu,TUV,2022,13.32408428,786.2120421331144,9992.0,554.56138,Upper middle income,Oceania
United Republic of Tanzania,TZA,2022,0.98245382,11.254101349033236,64711821.0,10.772191,Lower middle income,Africa
Uganda,UGA,2022,0.977534,9.82790250606444,47312719.5,8.429178,Low income,Africa
Uruguay,URY,2022,6.32145834,1307.9240553531026,3390912.9999999995,1155.86503,High income,Americas
United States of America,USA,2022,9.10163784,6860.618615122107,341534045.49999994,5656.787161,High income,Americas
Uzbekistan,UZB,2022,2.5039238899999994,57.61652843215192,34938955.5,79.416723,Lower middle income,Asia
Saint Vincent and the Grenadines,VCT,2022,3.23636723,300.2333261470317,102046.0,272.975368,Upper middle income,Americas
Viet Nam,VNM,2022,2.00186634,82.40453979874803,99680655.0,71.134154,Lower middle income,Asia
Vanuatu,VUT,2022,1.67315841,54.635167481237154,313046.50000000006,45.260074,Lower middle income,Oceania
Samoa,WSM,2022,5.0203704799999995,188.20915784387077,215260.5,186.224549,Upper middle income,Oceania
Yemen,YEM,2022,0.30541709,1.881656715022059,38222875.5,2.759514,Low income,Asia
South Africa,ZAF,2022,5.405023570000001,351.1628850841212,62378409.99999999,311.309689,Upper middle income,Africa
Zambia,ZMB,2022,2.50694346,36.27853454075703,20152938.000000004,32.55204,Lower middle income,Africa
Zimbabwe,ZWE,2022,1.17876518,22.953895685406035,16069055.499999998,102.188343,Lower middle income,Africa
